t,"DePM,L=20","DeEPCA,L=20","ADePM_bstar,L=20","ADePM_btune,L=20","DePM,L=40","DeEPCA,L=40","ADePM_bstar,L=40","ADePM_btune,L=40"
112,0.04664034447485213,0.046487639996469966,0.000434467508318068,0.0005032990081310631,0.046480951133134045,0.04648094961998663,2.85818379535522e-09,0.00020779554855215388
113,0.04530332606776859,0.04515114033723774,0.0004344674697482892,0.0004921634640810209,0.04514463720703917,0.04514463569373534,2.8577471497120802e-09,0.00019127390532499598
114,0.04400458065438091,0.043852913330570426,0.0004344674349340074,0.0004822490263502445,0.043846591051338674,0.04384658953789579,2.8575455795745464e-09,0.0001760658972824943
115,0.042743025351883276,0.04259187565246465,0.0004344674035709551,0.00047342083314423953,0.0425857294518718,0.04258572793830624,2.857346789917561e-09,0.00016206707735103417
116,0.041517606852779776,0.04136697357952432,0.00043446737540137856,0.0004655567320398443,0.041360998793962184,0.04136099728028971,2.857091460605315e-09,0.00014918130303707766
117,0.040327300707130725,0.040177182270026764,0.00043446735012359414,0.0004585468465024142,0.040171374343380355,0.0401713728296155,2.8568400854964967e-09,0.00013732007613131755
118,0.03917111061439416,0.03902150505463955,0.000434467327416116,0.000452292944149989,0.03901585953696644,0.039015858023123295,2.8566492377965236e-09,0.00012640193491207343
119,0.03804806772549424,0.03789897273741313,0.0004344673069981388,0.0004467076576748844,0.03789348528354298,0.037893483769634445,2.8565221488590514e-09,0.00011635189467508545
120,0.03695722995565495,0.03680864290758588,0.00043446728863847755,0.0004417136127448839,0.036803309275648434,0.036803307761686825,2.8564311758697984e-09,0.00010710093274636994
121,0.03589768130845446,0.03574959926265439,0.00043446727212982097,0.0004372425130345616,0.035744415312547295,0.0357444137985442,2.8563540927348855e-09,9.858551444215189e-05
122,0.03486853121148187,0.034720950943089295,0.00043446725727845084,0.00043323422405029574,0.034715912634892696,0.03471591112085893,2.856287402180461e-09,9.074715671752893e-05
123,0.03386891386390696,0.033721831879004883,0.0004344672439168695,0.00042963588728827626,0.033716935271352305,0.033716933757298034,2.8562375634102518e-09,8.353202651254082e-05
124,0.032897987596217676,0.0327514001490348,0.0004344672319047314,0.0004264010864072044,0.0327466413974464,0.032746639883381466,2.8562059377526116e-09,7.689057103148912e-05
125,0.03195493424231865,0.03180883735160495,0.00043446722111346723,0.0004234890785542064,0.031804212706792116,0.03180421119272528,2.856185144310521e-09,7.077717741923435e-05
126,0.03103895852413775,0.030893347988750822,0.00043446721141575384,0.00042086409719050615,0.030888853794894654,0.03088885228083435,2.8561666768941835e-09,6.514985949725574e-05
127,0.03014928744884087,0.030004158862575108,0.00043446720269020724,0.00041849472775672884,0.02999979155558752,0.029999790041542084,2.856148568913313e-09,5.996996940622156e-05
128,0.02928516971871558,0.02914051848440558,0.000434467194832022,0.00041635335406077945,0.02913627459017831,0.029136273076154743,2.8561337852178917e-09,5.520193217637342e-05
129,0.028445875153745463,0.02830169649667696,0.0004344671877547162,0.0004144156711017171,0.028297572629319458,0.028297571115324736,2.8561243327761603e-09,5.081300140268975e-05
130,0.027630694126869942,0.027486983107522452,0.00043446718138332986,0.0004126602588266319,0.02748297596759719,0.027482974453637943,2.85611875955988e-09,4.67730343452753e-05
131,0.02683893701188714,0.026695688538040177,0.00043446717564887957,0.0004110682107922324,0.026691794910796863,0.026691793396878945,2.8561137889642335e-09,4.30542849128048e-05
132,0.02606993364393923,0.025927142482166897,0.00043446717048710773,0.0004096228116501592,0.02592335923577957,0.02592335772190819,2.8561082723540703e-09,3.963121310425043e-05
133,0.02532303279249324,0.025180693579071146,0.000434467165839908,0.000408309257617925,0.025177017662881145,0.025177016149061583,2.8561038662177003e-09,3.6480309602833736e-05
134,0.02459760164670917,0.02445570889795947,0.0004344671616549649,0.00040711441450663055,0.02445213734072761,0.024452135826964767,2.856101125503722e-09,3.357993431720001e-05
135,0.02389302531307112,0.023751573435169263,0.00043446715788564473,0.0004060266083849139,0.023748103343339225,0.023748101829637634,2.8560990367454926e-09,3.0910167758461345e-05
136,0.023208706325143078,0.0230676896234054,0.000434467154490014,0.0004050354444818018,0.02306431817938066,0.023064316665744558,2.856096899519593e-09,2.8452674235725785e-05
137,0.022544064165291797,0.022403476852968302,0.0004344671514305967,0.00040413165045541057,0.022400201313405477,0.02240019979983852,2.8560950393105407e-09,2.619057592799569e-05
138,0.021898534798215824,0.021758371004805387,0.00043446714867380364,0.00040330694064175695,0.02175518869892442,0.021755187185429795,2.856093681515347e-09,2.4108336969358026e-05
139,0.02127157021610064,0.02113182399521101,0.00043446714618975877,0.0004025538983497009,0.021128732323123938,0.02112873080970496,2.8560928177035075e-09,2.2191656749897553e-05
